time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-10-01 10:44:25.207703-04:00,34.68,2.0,34.71,1.0,18.19,2620.0,18.2,844.0,16.61,835.0,16.62,3147.0,52.35,12.0,52.38,18.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:25.207703-04:00,34.68,2.0,34.71,1.0,18.19,2620.0,18.2,844.0,16.61,835.0,16.62,3147.0,52.35,69.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:25.207703-04:00,34.68,2.0,34.71,1.0,18.19,2620.0,18.2,844.0,16.61,2148.0,16.62,3128.0,52.35,69.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,2620.0,18.2,844.0,16.61,2148.0,16.62,3128.0,52.35,69.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,3228.0,18.2,661.0,16.61,2148.0,16.62,3128.0,52.35,69.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,3228.0,18.2,661.0,16.61,2148.0,16.62,3128.0,52.35,69.0,52.38,90.0,16.17,113.0,16.19,201.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,3228.0,18.2,661.0,16.6,4128.0,16.61,4909.0,52.35,69.0,52.38,90.0,16.17,113.0,16.19,201.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,3228.0,18.2,661.0,16.6,4128.0,16.61,4909.0,52.35,69.0,52.38,90.0,16.17,113.0,16.19,201.0,24.38,52.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.19,3228.0,18.2,661.0,16.6,4128.0,16.61,4909.0,52.39,179.0,52.43,36.0,16.17,113.0,16.19,201.0,24.38,52.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:38.045306-04:00,34.68,2.0,34.71,23.0,18.18,823.0,18.19,3241.0,16.6,4128.0,16.61,4909.0,52.39,179.0,52.43,36.0,16.17,113.0,16.19,201.0,24.38,52.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:49.075815-04:00,34.58,1.0,34.67,59.0,18.18,823.0,18.19,3241.0,16.6,4128.0,16.61,4909.0,52.39,179.0,52.43,36.0,16.17,113.0,16.19,201.0,24.38,52.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:49.075815-04:00,34.58,1.0,34.67,59.0,18.18,823.0,18.19,3241.0,16.6,4128.0,16.61,4909.0,52.39,3.0,52.42,90.0,16.17,113.0,16.19,201.0,24.38,48.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:49.075815-04:00,34.58,1.0,34.67,59.0,18.18,823.0,18.19,3241.0,16.6,4128.0,16.61,4909.0,52.39,3.0,52.42,90.0,16.17,111.0,16.19,202.0,24.38,48.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:59.100015-04:00,34.64,144.0,34.67,2.0,18.18,823.0,18.19,3241.0,16.6,4606.0,16.61,4179.0,52.39,3.0,52.42,90.0,16.17,111.0,16.19,202.0,24.38,48.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:59.100015-04:00,34.64,144.0,34.67,2.0,18.18,1496.0,18.19,1416.0,16.6,4606.0,16.61,4179.0,52.39,3.0,52.42,90.0,16.17,111.0,16.19,202.0,24.38,48.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:59.100015-04:00,34.64,144.0,34.67,2.0,18.18,1496.0,18.19,1416.0,16.6,4606.0,16.61,4179.0,52.39,3.0,52.42,90.0,16.17,113.0,16.19,201.0,24.38,48.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:59.100015-04:00,34.64,144.0,34.67,2.0,18.18,1496.0,18.19,1416.0,16.6,5842.0,16.61,4201.0,52.39,3.0,52.42,90.0,16.17,113.0,16.19,201.0,24.38,8.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:09.645821-04:00,34.65,20.0,34.69,102.0,18.18,1496.0,18.19,1416.0,16.6,5842.0,16.61,4201.0,52.39,3.0,52.42,90.0,16.17,113.0,16.19,201.0,24.38,8.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:09.645821-04:00,34.65,20.0,34.69,102.0,18.18,2781.0,18.19,823.0,16.6,5842.0,16.61,4201.0,52.37,150.0,52.41,72.0,16.17,113.0,16.19,201.0,24.38,8.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:09.645821-04:00,34.65,20.0,34.69,102.0,18.18,2781.0,18.19,823.0,16.6,5842.0,16.61,4201.0,52.37,150.0,52.41,72.0,16.17,111.0,16.19,201.0,24.38,8.0,24.39,9.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:09.645821-04:00,34.65,20.0,34.69,102.0,18.18,2781.0,18.19,823.0,16.6,5842.0,16.61,4201.0,52.37,150.0,52.41,72.0,16.17,111.0,16.19,201.0,24.38,19.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:09.645821-04:00,34.65,20.0,34.69,102.0,18.18,2781.0,18.19,823.0,16.6,6580.0,16.61,3804.0,52.37,42.0,52.41,74.0,16.17,111.0,16.19,201.0,24.38,19.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:19.236193-04:00,34.66,2.0,34.69,3.0,18.18,2781.0,18.19,823.0,16.6,6580.0,16.61,3804.0,52.37,42.0,52.41,74.0,16.17,111.0,16.19,201.0,24.38,19.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:19.236193-04:00,34.66,2.0,34.69,3.0,18.18,3203.0,18.19,658.0,16.6,6580.0,16.61,3804.0,52.37,42.0,52.41,74.0,16.17,111.0,16.19,201.0,24.38,19.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:19.236193-04:00,34.66,2.0,34.69,3.0,18.18,3203.0,18.19,658.0,16.6,6580.0,16.61,3804.0,52.37,42.0,52.41,74.0,16.17,111.0,16.19,201.0,24.38,23.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:24.234766-04:00,34.66,20.0,34.69,2.0,18.18,3203.0,18.19,658.0,16.6,6580.0,16.61,3804.0,52.37,42.0,52.41,74.0,16.17,113.0,16.19,201.0,24.38,23.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:24.234766-04:00,34.66,20.0,34.69,2.0,18.18,3203.0,18.19,658.0,16.6,6580.0,16.61,3804.0,52.38,3.0,52.4,72.0,16.17,113.0,16.19,201.0,24.38,23.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:24.234766-04:00,34.66,20.0,34.69,2.0,18.18,3203.0,18.19,658.0,16.6,6926.0,16.61,3494.0,52.38,3.0,52.4,72.0,16.17,113.0,16.19,201.0,24.38,23.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:24.234766-04:00,34.66,20.0,34.69,2.0,18.19,1084.0,18.2,3439.0,16.6,6926.0,16.61,3494.0,52.38,3.0,52.4,72.0,16.17,113.0,16.19,201.0,24.38,23.0,24.39,4.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:36.404230-04:00,34.66,20.0,34.69,2.0,18.19,1084.0,18.2,3439.0,16.6,6926.0,16.61,3494.0,52.39,131.0,52.44,38.0,16.17,113.0,16.19,201.0,24.38,20.0,24.39,3.0,68.36,4.0,68.69,16.0
