time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-27 11:10:19.489551-04:00,17.8,3051,17.81,393,16.42,5947,16.43,2298,17.805,16.425,2.879479316729741,2.7988045643706743,2.8791984572980396,2.7985001040242823,2.87976009730157,2.799108932049177,-6.258071332254644e-06,0.0005614823280581938,0.00999999999999801,0.0,0.8858885017421603,0.7212856276531231,2,1,4,2,2,422,51211
2021-09-27 11:10:27.259776-04:00,17.81,1944,17.82,2098,16.42,5947,16.43,2298,17.814999999999998,16.425,2.880040799057799,2.7988045643706743,2.87976009730157,2.7985001040242823,2.8803214220426634,2.799108932049177,0.0005552242567259391,0.0,0.0,0.0,0.48095002474022763,0.7212856276531231,1,1,5,1,2,512,51211
2021-09-27 11:10:27.259776-04:00,17.81,1944,17.82,2098,16.42,5795,16.43,552,17.814999999999998,16.425,2.880040799057799,2.7988045643706743,2.87976009730157,2.7985001040242823,2.8803214220426634,2.799108932049177,0.0005552242567259391,0.0,0.0,0.0,0.48095002474022763,0.9130297778478021,1,1,5,1,2,512,51211
2021-09-27 11:10:27.259776-04:00,17.81,2609,17.82,1622,16.42,5795,16.43,552,17.814999999999998,16.425,2.880040799057799,2.7988045643706743,2.87976009730157,2.7985001040242823,2.8803214220426634,2.799108932049177,0.0005552242567259391,0.0,0.0,0.0,0.6166390924131411,0.9130297778478021,1,1,5,1,2,512,51212
2021-09-27 11:10:39.276650-04:00,17.81,2609,17.82,1622,16.42,7613,16.43,33,17.814999999999998,16.425,2.880040799057799,2.7988045643706743,2.87976009730157,2.7985001040242823,2.8803214220426634,2.799108932049177,0.0005552242567259391,-0.001163011135417058,0.0,0.010000000000001563,0.6166390924131411,0.9956840177870782,1,2,5,1,2,512,21011
2021-09-27 11:10:46.248067-04:00,17.81,2609,17.82,1622,16.43,1780,16.44,3843,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6166390924131411,0.31655699804374887,1,1,2,1,0,210,22011
2021-09-27 11:10:46.248067-04:00,17.81,3517,17.82,1532,16.43,1780,16.44,3843,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.69657357892652,0.31655699804374887,1,1,2,2,0,220,22111
2021-09-27 11:10:53.043892-04:00,17.81,3517,17.82,1532,16.43,1971,16.44,3855,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.69657357892652,0.33831101956745624,1,1,2,2,1,221,22111
2021-09-27 11:10:53.043892-04:00,17.81,3734,17.82,1556,16.43,1971,16.44,3855,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.7058601134215501,0.33831101956745624,1,1,2,2,1,221,22111
2021-09-27 11:10:53.043892-04:00,17.81,3643,17.82,1384,16.43,1971,16.44,3855,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.7246866918639348,0.33831101956745624,1,1,2,2,1,221,22111
